datetime,power,Linear Regression,Ridge,Lasso,XGBoost(My chosen model),SVR(RBF),SVR(POLY),SVR(LINEAR),Ensembling
2022-07-20 21:00:00,0.45594117647058824,0.6494798387165074,0.6494839207871979,0.6620728713978923,0.46279415,0.6728781573707956,0.8028097558899213,0.47191506106504505,1.056660286468411
2022-07-20 22:00:00,0.9237866666666668,0.6414183398070972,0.6414495046677438,0.6427303636260127,0.9176769,0.651012013965662,0.375851034321373,0.5210537544185632,1.481140514113892
2022-07-20 23:00:00,0.24608,0.577719501011161,0.5777547622447419,0.623387855854133,0.2468099,0.5567700518237949,0.14613203408264497,0.7370432696936248,0.783302924816766
2022-07-21 00:00:00,0.17911666666666667,0.21295041078790372,0.21297307523677594,0.4207366543464772,0.17458369,-0.014744734979788343,-0.2644968524440936,0.1750092938368445,0.3681573889925195
2022-07-21 01:00:00,0.13976271186440678,0.24069935800186923,0.24072936800602276,0.4580314454936727,0.14284265,0.21102363242033684,0.2129226203453789,0.2753269239455248,0.36436489905391656
2022-07-21 02:00:00,0.14945,0.24272955039460833,0.24277124513998755,0.46700758718133084,0.15060654,0.2497717631023394,0.24942230157717016,0.284808238479347,0.3736692840889435
2022-07-21 03:00:00,0.1781864406779661,0.3353139725556864,0.33534903371753927,0.5043023783285263,0.18286204,0.19159897915517698,0.17074772440647223,0.28137723748087906,0.49226721811983476
2022-07-21 04:00:00,0.28668333333333335,0.3343610132519975,0.3343992940426071,0.513278520016184,0.2802617,0.20836650986981886,0.29708993137716166,0.24201835970169816,0.5838915761853603
2022-07-21 05:00:00,0.32570491803278684,0.31020982575787487,0.3102330362819805,0.4939360122443044,0.34344575,0.45208448055499617,0.7572705479886692,0.318215069614905,0.6209728055870007
2022-07-21 06:00:00,0.6424461538461539,0.38192177082293355,0.3819542102523219,0.5595494528510372,0.63482314,0.7198718687353854,1.0696779501327558,0.4932476082122573,0.9659076834910459
2022-07-21 07:00:00,1.1781525423728814,0.46528741858908307,0.4652923204126012,0.5968442439982331,1.1742488,0.9992208874843884,1.0779670700517934,0.6599571476541956,1.557559379790061
2022-07-21 08:00:00,1.0391547619047619,0.5110223440826358,0.5110280566145251,0.6058203856858908,1.0314786,0.9976931095631312,1.0250238158707836,0.6163425932694363,1.4653759381249944
2022-07-21 09:00:00,0.3201136363636364,0.5366277914068133,0.5366595313165736,0.6147965273735485,0.33676836,0.8997259383899363,1.000506122198458,0.5930790757380061,0.8297263294239818
2022-07-21 10:00:00,0.4559583333333333,0.4732949247965164,0.47334406251851685,0.5954540196016689,0.45165306,0.8204149470579895,0.9802528016209038,0.6037909569873922,0.878700591669331
2022-07-21 11:00:00,0.5287578947368421,0.5088954105428478,0.508937384839619,0.6327488107488644,0.5228757,0.7787540382541946,0.9196692119570761,0.7126395530453081,0.9801825769473156
2022-07-21 12:00:00,0.3297717391304348,0.6834395250132553,0.6834617022015668,0.7266809008151349,0.7861723,0.8648459587738967,0.8942852671662567,0.8187794795429114,1.3961312119591565
2022-07-21 13:00:00,0.49114117647058825,0.8137402677715605,0.8137625045143955,0.8206129908814059,0.49353674,0.9923932190300091,0.9429182656440485,0.8790721569606311,1.2419131653479485
2022-07-21 14:00:00,0.8595121951219513,0.9375360685257214,0.9375504172282688,0.914545080947677,0.858608,0.9911339696127037,1.0042722352145397,0.9867601492326338,1.7063368483170562
2022-07-21 15:00:00,0.6587837837837838,1.0256830350267898,1.0257041975522132,0.9801585215544097,0.659225,0.9472602745756117,1.0674162172096597,1.0210254787475765,1.6006626209539783
2022-07-21 16:00:00,0.5247974683544304,0.9447633259886415,0.9447699765187548,0.9041787148634546,0.5283749,0.9377828038825107,1.0774603098492255,0.9780364030204091,1.399481324526093
2022-07-21 17:00:00,0.5929146341463415,1.117561708079093,1.1176094627305253,1.0830667533083387,0.59265476,0.755092582518096,1.015117975936306,1.189435706060079,1.6247056401540811
2022-07-21 18:00:00,0.656546875,0.7981518355796868,0.7981789656364242,0.8371750498601576,0.65373856,0.9143022730737981,1.03484643724179,1.047455607791293,1.3792958533168465
2022-07-21 19:00:00,0.7686166666666666,0.7256429430195341,0.7256899390484973,0.7611952431692024,0.76666296,0.8208595416152835,0.6684669977859352,0.8805042501952586,1.4176905735861478
2022-07-21 20:00:00,0.8092833333333332,0.5987783481107887,0.5988225952455166,0.6568967870187095,0.78604865,0.6752780367860615,0.38219453968197237,0.7709861265371868,1.3155856131469608
2022-07-21 21:00:00,0.8257413793103449,0.6868065526211313,0.6868743182202092,0.7791475265445178,0.8230229,0.48069843588299965,0.3579472153672064,0.9098021065265295,1.4343379610397269
2022-07-21 22:00:00,0.8168965517241379,0.7040011834673126,0.7040605984767258,0.788123668232176,0.81921256,0.5490841384379928,0.6201876821505623,0.9524880962097506,1.4470530702663895
2022-07-21 23:00:00,0.0,0.7074967343789985,0.7075286729128442,0.7404625110007585,-0.0022411298,0.49859933710753646,0.4621213968023562,0.9282845605981795,0.6699928244052845
2022-07-22 05:00:00,1.015967741935484,0.484434791153171,0.48445315912537623,0.5826920179313921,1.0147465,0.6021602744027776,0.703019653019447,0.40330430744939394,1.4242222769640123
2022-07-22 06:00:00,1.1424354838709678,0.5479292255002244,0.5479580299189164,0.6483054585381254,1.1426631,0.6981116545287953,0.8080665584708173,0.4949690573847342,1.606062687664239
2022-07-22 07:00:00,1.0723717948717948,0.6569804644215048,0.6570291381421463,0.7988748475234715,1.0722916,0.8883425931086508,0.9722374349259818,0.681650759144926,1.6428084374315088
